Institution_Symbol	Item_Holding_Location	Item_Permanent_Shelving_Location	Item_Temporary_Shelving_Location	Item_Type	Item_Call_Number	Item_Enumeration_and_Chronology	Author_Name	Title	LHR_Item_Materials_Specified	Material_Format	OCLC_Number	Title_ISBN	Publication_Date	Item_Barcode	LHR_Item_Cost	LHR_Item_Nonpublic_Note	LHR_Item_Public_Note	Item_Status_Current_Status	Item_Due_Date	Item_Issued_Count	Issued_Count_YTD	Item_Soft_Issued_Count	Item_Soft_Issued_Count_YTD	Item_Last_Issued_Date	Item_Last_Inventoried_Date	Item_Deleted_Date	LHR_Date_Entered_on_File	LHR_Item_Acquired_Date	Language_Code	LHR_Item_Call_Number_Normalized
PBU	PBUB	Reserves Overnight		CIRC_MANAGED			Ned Ladd, Michele Thornley	Lab Packet for ASTR 102: Stars, Galaxies, and Beyond		otr	0			89001006101184				AVAILABLE		1	0	0	0	2014-09-22					otr	
PBU	PBUB	Reserves Overnight		CIRC_MANAGED			Ned Ladd ; Michele Thornley	Lab Packet for ASTR 102: Stars, Galaxies, and Beyond		otr	0			89001006101192				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	Computing / Interpreting Computation		otr	0			89001006159810				AVAILABLE		1	0	0	0	2014-08-27					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 2		otr	0			89001006159828				AVAILABLE		13	0	0	0	2014-09-18					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 3		otr	0			89001006159836				AVAILABLE		4	0	0	0	2014-09-18					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 5		otr	0			89001006159844				AVAILABLE		12	0	0	0	2014-09-24					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 4		otr	0			89001006159851				AVAILABLE		13	0	0	0	2014-09-19					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 6		otr	0			89001006159869				AVAILABLE		6	0	0	0	2014-09-19					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 7		otr	0			89001006159877				AVAILABLE		9	0	0	0	2014-09-19					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 8		otr	0			89001006159885				AVAILABLE		7	0	0	0	2014-09-18					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 9		otr	0			89001006159893				AVAILABLE		13	0	0	0	2014-09-18					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185 - 01/02: Computing / Interpreting Computation, Packet 10		otr	0			89001006159901				AVAILABLE		9	0	0	0	2014-09-19					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185-01/02 Computing / Interpreting Computation, Packet 1		otr	0			89001006159984				AVAILABLE		24	0	0	0	2014-09-18					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Gary Haggard	CSCI 185-01/02  Computing/Interpreting Computation		otr	0			89001006159992				AVAILABLE		1	0	0	0	2014-08-27					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Calculus: Early Transcendentals		Book	0			89001006447629				AVAILABLE		12	5	0	0	2026-04-16					otr	
PBU	PBUB	Reserves 4-hours		CIRC_MANAGED				IR: Seeking Security, Prosperity, and the Quality of Life in a Changing World		Book	0			89001006447710				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Hide/Seek		Book	0			89001006448031				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Queer Abstraction		Book	0			89001006448049				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Art and Queer Culture		Book	0			89001006448056				AVAILABLE		1	0	0	0	2025-04-26					otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Queer Threads		Book	0			89001006448064				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED			Harmony Hammond	Lesbian Art in America		Book	0			89001006448072				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Emerging Adulthood and Higher Education		Book	0			89001006448122				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Emerging Adulthood and Higher Education		Book	0			89001006448130				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Reserves 3-hours		CIRC_MANAGED				Emerging Adulthood and Higher Education		Book	0			89001006448148				AVAILABLE		0	0	0	0						otr	
